date,mean_air_temp
1/01/2013,17.6
2/01/2013,20
3/01/2013,15.4
4/01/2013,16.4
5/01/2013,18
6/01/2013,20.5
7/01/2013,19.9
8/01/2013,18.6
9/01/2013,20.7
10/01/2013,20.6
11/01/2013,23.3
12/01/2013,23.6
13/01/2013,23.2
14/01/2013,20.1
15/01/2013,19.3
16/01/2013,18.3
17/01/2013,17.8
18/01/2013,16.4
19/01/2013,19.1
20/01/2013,20.3
21/01/2013,20.1
22/01/2013,21.5
23/01/2013,19.8
24/01/2013,21.8
25/01/2013,20.1
26/01/2013,19.1
27/01/2013,18.9
28/01/2013,18.4
29/01/2013,20.7
30/01/2013,19.8
31/01/2013,20.2
1/02/2013,20.5
2/02/2013,21.9
3/02/2013,22.5
4/02/2013,19.4
5/02/2013,16.6
6/02/2013,16.6
7/02/2013,19
8/02/2013,19.6
9/02/2013,19.7
10/02/2013,18.1
11/02/2013,19.2
12/02/2013,20.5
13/02/2013,18.5
14/02/2013,20.1
15/02/2013,21.1
16/02/2013,19.1
17/02/2013,19.9
18/02/2013,21.5
19/02/2013,20.6
20/02/2013,20
21/02/2013,20.1
22/02/2013,20.2
23/02/2013,20.8
24/02/2013,20.4
25/02/2013,19
26/02/2013,20.1
27/02/2013,20.5
28/02/2013,22.3
1/03/2013,19.5
2/03/2013,20.3
3/03/2013,20.9
4/03/2013,20
5/03/2013,19.2
6/03/2013,19.8
7/03/2013,20
8/03/2013,21.8
9/03/2013,18.9
10/03/2013,20
11/03/2013,21.5
12/03/2013,20.2
13/03/2013,20.6
14/03/2013,19.6
15/03/2013,20.5
16/03/2013,20.8
17/03/2013,20.9
18/03/2013,20.8
19/03/2013,16.7
20/03/2013,16.9
21/03/2013,17.2
22/03/2013,17.6
23/03/2013,16.6
24/03/2013,17.6
25/03/2013,17.2
26/03/2013,18.9
27/03/2013,18.8
28/03/2013,18.8
29/03/2013,19.3
30/03/2013,20.2
31/03/2013,20.6
1/04/2013,18.8
2/04/2013,20.4
3/04/2013,20.3
4/04/2013,16.4
5/04/2013,14.9
6/04/2013,12.2
7/04/2013,12.4
8/04/2013,13.9
9/04/2013,15.2
10/04/2013,13.8
11/04/2013,16
12/04/2013,16.1
13/04/2013,15.9
14/04/2013,18.4
15/04/2013,17.8
16/04/2013,19.4
17/04/2013,18.5
18/04/2013,16
19/04/2013,17.9
20/04/2013,19.3
21/04/2013,18.9
22/04/2013,14.8
23/04/2013,16.6
24/04/2013,15.7
25/04/2013,17.4
26/04/2013,16.5
27/04/2013,17.5
28/04/2013,16.9
29/04/2013,16.4
30/04/2013,17.6
1/05/2013,16
2/05/2013,16
3/05/2013,18
4/05/2013,14.4
5/05/2013,15.2
6/05/2013,12.5
7/05/2013,14.6
8/05/2013,14
9/05/2013,10.9
10/05/2013,11.8
11/05/2013,11.7
12/05/2013,12
13/05/2013,15.3
14/05/2013,16.5
15/05/2013,14.5
16/05/2013,18
17/05/2013,16.1
18/05/2013,15.9
19/05/2013,13.4
20/05/2013,15.6
21/05/2013,13.1
22/05/2013,13.3
23/05/2013,11.7
24/05/2013,12.1
25/05/2013,14.7
26/05/2013,14.6
27/05/2013,12.9
28/05/2013,7.2
29/05/2013,9.6
30/05/2013,11
31/05/2013,12.6
1/06/2013,11.5
2/06/2013,11.8
3/06/2013,12.8
4/06/2013,14.1
5/06/2013,12.3
6/06/2013,12.6
7/06/2013,11.7
8/06/2013,14.5
9/06/2013,10.6
10/06/2013,11.1
11/06/2013,13.4
12/06/2013,15.5
13/06/2013,15.3
14/06/2013,14.2
15/06/2013,15.3
16/06/2013,13
17/06/2013,15
18/06/2013,15.4
19/06/2013,11.3
20/06/2013,8.6
21/06/2013,11
22/06/2013,10.9
23/06/2013,7.2
24/06/2013,11.2
25/06/2013,11.4
26/06/2013,11.5
27/06/2013,8.2
28/06/2013,6.6
29/06/2013,10.7
30/06/2013,9.3
1/07/2013,10.1
2/07/2013,11.2
3/07/2013,11.3
4/07/2013,14.7
5/07/2013,14.8
6/07/2013,10.9
7/07/2013,12.1
8/07/2013,10
9/07/2013,10.6
10/07/2013,9.1
11/07/2013,8.6
12/07/2013,9.8
13/07/2013,10.5
14/07/2013,10.2
15/07/2013,6.3
16/07/2013,9
17/07/2013,12.3
18/07/2013,12.9
19/07/2013,12.2
20/07/2013,13.3
21/07/2013,9.8
22/07/2013,10.6
23/07/2013,12.3
24/07/2013,11.9
25/07/2013,12.8
26/07/2013,12.8
27/07/2013,9.8
28/07/2013,10.4
29/07/2013,10
30/07/2013,12
31/07/2013,13.7
1/08/2013,13.7
2/08/2013,12.6
3/08/2013,14.6
4/08/2013,15.7
5/08/2013,13.7
6/08/2013,13
7/08/2013,12.1
8/08/2013,13
9/08/2013,13.9
10/08/2013,13.3
11/08/2013,13.1
12/08/2013,11.4
13/08/2013,13
14/08/2013,13.3
15/08/2013,11.6
16/08/2013,11.4
17/08/2013,13.3
18/08/2013,12.1
19/08/2013,13.2
20/08/2013,13.5
21/08/2013,10.8
22/08/2013,12.2
23/08/2013,9.9
24/08/2013,12.7
25/08/2013,12.3
26/08/2013,13
27/08/2013,10.5
28/08/2013,13.8
29/08/2013,9.9
30/08/2013,9.7
31/08/2013,10.6
1/09/2013,10.6
2/09/2013,10.8
3/09/2013,10.6
4/09/2013,11.2
5/09/2013,9.5
6/09/2013,11.9
7/09/2013,14.7
8/09/2013,13.3
9/09/2013,12
10/09/2013,14.7
11/09/2013,16.6
12/09/2013,14
13/09/2013,14.6
14/09/2013,10.8
15/09/2013,11.5
16/09/2013,13.1
17/09/2013,9.5
18/09/2013,12
19/09/2013,14
20/09/2013,16.9
21/09/2013,15.5
22/09/2013,14.9
23/09/2013,16.5
24/09/2013,14.1
25/09/2013,14.4
26/09/2013,15.4
27/09/2013,16.1
28/09/2013,13.2
29/09/2013,14.5
30/09/2013,14.9
1/10/2013,11.8
2/10/2013,14.1
3/10/2013,13.7
4/10/2013,16.4
5/10/2013,15.9
6/10/2013,15
7/10/2013,13.7
8/10/2013,14.9
9/10/2013,12.2
10/10/2013,14.7
11/10/2013,14.3
12/10/2013,14.3
13/10/2013,16.2
14/10/2013,16.8
15/10/2013,14
16/10/2013,14.3
17/10/2013,13.1
18/10/2013,16.1
19/10/2013,15.4
20/10/2013,15.4
21/10/2013,14.7
22/10/2013,16.7
23/10/2013,16.4
24/10/2013,15.7
25/10/2013,14.7
26/10/2013,12.8
27/10/2013,14.5
28/10/2013,12.1
29/10/2013,12.7
30/10/2013,15.8
31/10/2013,17.1
1/11/2013,14.4
2/11/2013,13.5
3/11/2013,12.6
4/11/2013,15.8
5/11/2013,14.7
6/11/2013,15.7
7/11/2013,13
8/11/2013,16.8
9/11/2013,16.5
10/11/2013,17.2
11/11/2013,17.3
12/11/2013,15.1
13/11/2013,15
14/11/2013,14.7
15/11/2013,15.6
16/11/2013,18.4
17/11/2013,18.5
18/11/2013,20.3
19/11/2013,19
20/11/2013,18.9
21/11/2013,16.9
22/11/2013,18.4
23/11/2013,20.4
24/11/2013,19.2
25/11/2013,21.4
26/11/2013,19.7
27/11/2013,19.4
28/11/2013,18
29/11/2013,19.4
30/11/2013,18.9
1/12/2013,15.7
2/12/2013,18.3
3/12/2013,18.9
4/12/2013,17.9
5/12/2013,19
6/12/2013,18.7
7/12/2013,16.7
8/12/2013,17.1
9/12/2013,18
10/12/2013,16.3
11/12/2013,17.2
12/12/2013,19.7
13/12/2013,18.3
14/12/2013,20.1
15/12/2013,20.9
16/12/2013,20.8
17/12/2013,20.2
18/12/2013,19
19/12/2013,17.4
20/12/2013,17.5
21/12/2013,19
22/12/2013,17.9
23/12/2013,18.3
24/12/2013,19.4
25/12/2013,17
26/12/2013,16.4
27/12/2013,18.7
28/12/2013,17.9
29/12/2013,18.3
30/12/2013,16.8
31/12/2013,16.1
1/01/2014,17.6
2/01/2014,18.7
3/01/2014,22.5
4/01/2014,22.9
5/01/2014,18.7
6/01/2014,16.4
7/01/2014,20.4
8/01/2014,18.1
9/01/2014,15.3
10/01/2014,18.3
11/01/2014,18.7
12/01/2014,19
13/01/2014,19.8
14/01/2014,18.7
15/01/2014,18.5
16/01/2014,19.5
17/01/2014,18.4
18/01/2014,16.7
19/01/2014,21.3
20/01/2014,19.2
21/01/2014,19.9
22/01/2014,19.9
23/01/2014,18.7
24/01/2014,17.5
25/01/2014,21
26/01/2014,18.5
27/01/2014,16.8
28/01/2014,16.9
29/01/2014,20.7
30/01/2014,18.6
31/01/2014,19.8
1/02/2014,18.2
2/02/2014,19.5
3/02/2014,18.9
4/02/2014,19.9
5/02/2014,21.1
6/02/2014,20.6
7/02/2014,20.8
8/02/2014,21.7
9/02/2014,21.9
10/02/2014,21.1
11/02/2014,17.8
12/02/2014,19.7
13/02/2014,19.1
14/02/2014,19
15/02/2014,18.8
16/02/2014,20.6
17/02/2014,22.1
18/02/2014,21.8
19/02/2014,20.9
20/02/2014,21.1
21/02/2014,23.3
22/02/2014,22.1
23/02/2014,18.4
24/02/2014,18.9
25/02/2014,17.8
26/02/2014,20.1
27/02/2014,18.3
28/02/2014,20.3
1/03/2014,17.7
2/03/2014,18.3
3/03/2014,16.4
4/03/2014,17.8
5/03/2014,16.9
6/03/2014,16.6
7/03/2014,17
8/03/2014,18.6
9/03/2014,19.4
10/03/2014,18.3
11/03/2014,18.9
12/03/2014,18.2
13/03/2014,19
14/03/2014,19.3
15/03/2014,20.3
16/03/2014,18.3
17/03/2014,19.3
18/03/2014,21.2
19/03/2014,17.7
20/03/2014,19.3
21/03/2014,18.3
22/03/2014,19.3
23/03/2014,19
24/03/2014,17.6
25/03/2014,19.4
26/03/2014,18.2
27/03/2014,17.4
28/03/2014,17.8
29/03/2014,16.5
30/03/2014,17.6
31/03/2014,18
1/04/2014,19.9
2/04/2014,18.6
3/04/2014,17.3
4/04/2014,19.5
5/04/2014,19.5
6/04/2014,15.3
7/04/2014,19.8
8/04/2014,22
9/04/2014,19.9
10/04/2014,19.6
11/04/2014,17.2
12/04/2014,17.3
13/04/2014,20
14/04/2014,20.4
15/04/2014,20.2
16/04/2014,19.2
17/04/2014,21.3
18/04/2014,20
19/04/2014,18
20/04/2014,15.5
21/04/2014,16.9
22/04/2014,15.6
23/04/2014,13.8
24/04/2014,16.9
25/04/2014,17
26/04/2014,13.1
27/04/2014,15.9
28/04/2014,14.4
29/04/2014,13.7
30/04/2014,12
1/05/2014,13.7
2/05/2014,12.8
3/05/2014,14.7
4/05/2014,18.2
5/05/2014,15
6/05/2014,17.4
7/05/2014,17.3
8/05/2014,14.5
9/05/2014,14.4
10/05/2014,12.2
11/05/2014,14.5
12/05/2014,14.4
13/05/2014,15.5
14/05/2014,13.5
15/05/2014,12.4
16/05/2014,11.1
17/05/2014,13.6
18/05/2014,14
19/05/2014,14.2
20/05/2014,13.4
21/05/2014,15.2
22/05/2014,14.7
23/05/2014,16.8
24/05/2014,16.7
25/05/2014,15.8
26/05/2014,8.1
27/05/2014,6.4
28/05/2014,9
29/05/2014,13.1
30/05/2014,13.2
31/05/2014,10.6
1/06/2014,12.7
2/06/2014,12.7
3/06/2014,13.8
4/06/2014,12.2
5/06/2014,13.2
6/06/2014,12.6
7/06/2014,13.8
8/06/2014,16.8
9/06/2014,15.7
10/06/2014,12.4
11/06/2014,13.9
12/06/2014,14.4
13/06/2014,12
14/06/2014,10.5
15/06/2014,11.7
16/06/2014,14.5
17/06/2014,14.1
18/06/2014,11.7
19/06/2014,13.1
20/06/2014,11.4
21/06/2014,12.9
22/06/2014,12.1
23/06/2014,14.1
24/06/2014,15.5
25/06/2014,15.5
26/06/2014,14.2
27/06/2014,12.5
28/06/2014,9.6
29/06/2014,11.2
30/06/2014,11.5
1/07/2014,11.9
2/07/2014,9.9
3/07/2014,9.9
4/07/2014,11.8
5/07/2014,12.5
6/07/2014,12.7
7/07/2014,13.1
8/07/2014,12.6
9/07/2014,13.3
10/07/2014,14.4
11/07/2014,14.3
16/07/2014,8.4
17/07/2014,6.6
18/07/2014,6.3
19/07/2014,8.3
20/07/2014,11.1
21/07/2014,9.2
22/07/2014,6.5
23/07/2014,8.9
24/07/2014,12
25/07/2014,9.1
26/07/2014,11.8
27/07/2014,8.7
28/07/2014,8.1
29/07/2014,12.1
30/07/2014,12.9
31/07/2014,12.7
1/08/2014,13.9
2/08/2014,16.7
3/08/2014,8.8
4/08/2014,11.6
5/08/2014,13.1
6/08/2014,12
7/08/2014,11.9
8/08/2014,9.4
9/08/2014,8.2
10/08/2014,9.6
11/08/2014,12.4
12/08/2014,11.2
13/08/2014,11.4
14/08/2014,10.2
15/08/2014,13.2
16/08/2014,13.3
17/08/2014,12.2
18/08/2014,11.9
19/08/2014,13.2
20/08/2014,13.8
21/08/2014,8.7
22/08/2014,10.7
23/08/2014,10.3
24/08/2014,10.5
25/08/2014,11.4
26/08/2014,11.1
27/08/2014,12
28/08/2014,12.4
29/08/2014,14
30/08/2014,11.9
31/08/2014,10.9
1/09/2014,11.9
2/09/2014,14.1
3/09/2014,13
4/09/2014,15.3
5/09/2014,15.4
6/09/2014,13.8
7/09/2014,14.5
8/09/2014,11.4
9/09/2014,14.3
10/09/2014,12.4
11/09/2014,14.9
12/09/2014,15
13/09/2014,14.4
14/09/2014,11
15/09/2014,13.6
16/09/2014,12.6
17/09/2014,10.9
18/09/2014,14.2
19/09/2014,12.6
20/09/2014,10.4
21/09/2014,12.1
22/09/2014,8.1
23/09/2014,14.9
24/09/2014,13.3
25/09/2014,14
26/09/2014,13.1
27/09/2014,15.5
28/09/2014,12.4
29/09/2014,13.7
30/09/2014,14.4
1/10/2014,14.8
2/10/2014,13
3/10/2014,12.6
4/10/2014,11.6
5/10/2014,13.7
6/10/2014,13.5
7/10/2014,10.8
8/10/2014,15.6
9/10/2014,14.6
10/10/2014,14.6
11/10/2014,15.8
12/10/2014,15.2
13/10/2014,14.9
14/10/2014,15.4
15/10/2014,13.9
16/10/2014,16.3
17/10/2014,17.3
18/10/2014,15
19/10/2014,15
20/10/2014,13.8
21/10/2014,16.2
22/10/2014,16.4
23/10/2014,14.9
24/10/2014,10.9
25/10/2014,11.5
26/10/2014,14.3
27/10/2014,15.7
28/10/2014,17.4
29/10/2014,14.1
30/10/2014,14.7
31/10/2014,17.1
1/11/2014,17.8
2/11/2014,17.5
3/11/2014,12.7
4/11/2014,12.5
5/11/2014,12.8
6/11/2014,12.1
7/11/2014,12.4
8/11/2014,12.5
9/11/2014,14.1
10/11/2014,16.7
11/11/2014,15.1
12/11/2014,12.6
13/11/2014,13.5
14/11/2014,16.1
15/11/2014,14.8
16/11/2014,14.1
17/11/2014,16.8
18/11/2014,14
19/11/2014,15.8
20/11/2014,14.5
21/11/2014,17.5
22/11/2014,17.2
23/11/2014,16.7
24/11/2014,18.1
25/11/2014,20.1
26/11/2014,14.9
27/11/2014,18.1
28/11/2014,14.5
29/11/2014,15.5
30/11/2014,16.1
1/12/2014,12.9
2/12/2014,13.5
3/12/2014,16.1
4/12/2014,15.5
5/12/2014,19.1
6/12/2014,18.2
7/12/2014,20.7
8/12/2014,21.4
9/12/2014,18.8
10/12/2014,20.4
11/12/2014,18.7
12/12/2014,16.6
13/12/2014,15.9
14/12/2014,15.8
15/12/2014,17.2
16/12/2014,16.6
17/12/2014,18.8
18/12/2014,18.2
19/12/2014,20.2
20/12/2014,19.5
21/12/2014,17.9
22/12/2014,18.6
23/12/2014,20.7
24/12/2014,18.2
25/12/2014,18.1
26/12/2014,18.2
27/12/2014,18.7
28/12/2014,19.2
29/12/2014,19.6
30/12/2014,20.1
31/12/2014,19.3
1/01/2015,16.2
2/01/2015,19.2
3/01/2015,17.7
4/01/2015,20.4
5/01/2015,19
6/01/2015,19.2
7/01/2015,20.4
8/01/2015,21
9/01/2015,19.2
10/01/2015,20.8
11/01/2015,22.1
12/01/2015,23.2
13/01/2015,21.2
14/01/2015,20.8
15/01/2015,21.7
16/01/2015,22.2
17/01/2015,21.3
18/01/2015,22.1
19/01/2015,22
20/01/2015,22.2
21/01/2015,19.3
22/01/2015,20.3
23/01/2015,21.9
24/01/2015,22.8
25/01/2015,22.4
26/01/2015,21.5
27/01/2015,22.8
28/01/2015,21.7
29/01/2015,22.6
30/01/2015,23.5
31/01/2015,21.5
1/02/2015,21.4
2/02/2015,24.3
3/02/2015,20.6
4/02/2015,18.6
5/02/2015,20.4
6/02/2015,19.1
7/02/2015,20.8
8/02/2015,20
9/02/2015,19.8
10/02/2015,18.7
11/02/2015,19.3
12/02/2015,19
13/02/2015,19.7
14/02/2015,20.1
15/02/2015,18.7
16/02/2015,18.3
17/02/2015,18.4
18/02/2015,19.9
19/02/2015,20.1
20/02/2015,20
21/02/2015,21.2
22/02/2015,19.8
23/02/2015,20.3
24/02/2015,17.5
25/02/2015,20.5
26/02/2015,20.8
27/02/2015,19.1
28/02/2015,20.6
1/03/2015,21.7
2/03/2015,21.4
3/03/2015,21.9
4/03/2015,20.5
5/03/2015,23.5
6/03/2015,20.4
7/03/2015,20.7
8/03/2015,19.8
9/03/2015,18.4
10/03/2015,20.5
11/03/2015,22.2
12/03/2015,20.9
13/03/2015,20.1
14/03/2015,22.6
15/03/2015,19.3
16/03/2015,20.4
17/03/2015,19
18/03/2015,17.8
19/03/2015,16.6
20/03/2015,18.7
21/03/2015,17.6
22/03/2015,19.4
23/03/2015,19.1
24/03/2015,16.4
25/03/2015,18.9
26/03/2015,19.4
27/03/2015,21.1
28/03/2015,20.3
29/03/2015,19
30/03/2015,18.2
31/03/2015,16.7
1/04/2015,17.6
2/04/2015,17.8
3/04/2015,17.1
4/04/2015,18.6
5/04/2015,17.7
6/04/2015,17.4
7/04/2015,19.1
8/04/2015,21.2
9/04/2015,19
10/04/2015,20.7
11/04/2015,18.3
12/04/2015,17.2
13/04/2015,14.1
14/04/2015,11.5
15/04/2015,14.8
16/04/2015,13.9
17/04/2015,16.9
18/04/2015,14.7
19/04/2015,17.7
20/04/2015,17.3
